ifcguid,area,name,olf_value,perimeter,space_function,unbounded_height,classification
2SzsE5m8T4h9JlM6XpBSkx,8.685378453253751,Changing room,50.0,12.650359472000027,ASSEMBLY USE - LOCKER ROOMS,2.4384,Space
2SzsE5m8T4h9JlM6XpBSku,2.529026490974492,Shower,0.0,6.540320384000015,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSn6,16.51430233801872,Enclosed office,50.0,16.676196896000043,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSn7,23.400009663199814,Open office,15.0,19.38723408000001,ASSEMBLY USE - STAGES AND PLATFORMS,2.4384,Space
2SzsE5m8T4h9JlM6XpBSn5,11.536764317051649,Corridor,0.0,17.620245392000015,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSn2,37.04234459524544,Corridor,0.0,49.50020337600101,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSn3,6.04904782193869,Corridor,0.0,15.01582692799996,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSn1,12.078038033622384,Stairway,0.0,14.719792976000008,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnD,11.589054070939675,Stairway,0.0,14.519795408000007,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnA,17.628178145988166,Meeting room,50.0,17.659715168000012,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSn8,66.2206852058245,Breakout space,15.0,34.47373284800007,ASSEMBLY USE - UNCONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSn9,22.83099532960028,Enclosed office,50.0,19.459998080000023,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnM,22.83099532960027,Enclosed office,50.0,19.459998080000013,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnN,31.45099856255906,Corridor,0.0,42.50096361600006,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnK,9.207986464512787,Corridor,0.0,14.70997963199997,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnL,21.741976093699634,Corridor,0.0,28.516088879999984,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnI,4.315202969876062,Reception area,15.0,8.495139024000173,ASSEMBLY USE - STAGES AND PLATFORMS,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnJ,15.64511177884499,Corridor,0.0,18.283780976000138,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnG,11.535629471583608,Confidential meetings room,50.0,14.72377611200016,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnH,2.654072501000297,Shower,0.0,6.739596799999995,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnU,9.114821136048663,Changing room,50.0,12.849635888,ASSEMBLY USE - LOCKER ROOMS,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnV,3.8827334356840075,Corridor,0.0,10.29574107199997,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnS,22.139061032165454,Enclosed office,50.0,19.981112208000024,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnT,16.708342624130736,Enclosed office,50.0,16.359919952000045,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnQ,16.708329731220534,Enclosed office,50.0,16.35991385600005,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnR,16.708329731220495,Enclosed office,50.0,16.359913856000034,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnO,16.700890522046866,Enclosed office,50.0,16.356396464000017,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnP,16.71576894039414,Enclosed office,50.0,16.363431248000023,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnc,17.53317944577971,Enclosed office,50.0,16.749917648000007,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnd,7.674347881595417,Confidential meetings room,50.0,11.107911152000167,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSna,4.328121815212163,Confidential meetings room,50.0,8.517907904000129,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnb,5.255550208862277,Enclosed office,50.0,9.235744208000181,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnY,5.868271226287733,Enclosed office,50.0,9.709994720000147,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnZ,12.62858390769467,Enclosed office,50.0,14.276196816000008,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnW,8.734771318911909,Enclosed office,50.0,11.871197408000045,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnX,53.50456917179908,Meeting room,50.0,31.663509152000014,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnj,8.750025341757782,Changing room,50.0,12.68035788800001,ASSEMBLY USE - LOCKER ROOMS,2.4384,Space
2SzsE5m8T4h9JlM6XpBSng,2.4970971528623,Shower,0.0,6.520319408000008,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnh,23.40000966319977,Open office,15.0,19.387234079999995,ASSEMBLY USE - STAGES AND PLATFORMS,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnf,11.535629471583587,Confidential meetings room,50.0,14.72377611200016,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnt,11.428619705668615,Corridor,0.0,17.590246976000007,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnq,36.69511292344562,Corridor,0.0,49.47020496000102,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnr,6.035279852005917,Corridor,0.0,14.985828511999976,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnp,12.078038033622384,Stairway,0.0,14.71979297600001,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSny,11.603734917173576,Stairway,0.0,14.525799968000008,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnz,17.651487912769895,Meeting room,50.0,17.674717424000015,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnx,42.50822954542454,Breakout space,15.0,26.268730208000004,ASSEMBLY USE - UNCONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnu,69.80794804071975,Meeting room,50.0,35.715000368,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSnv,11.766989817698764,Corridor,0.0,17.908732496000006,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm6,9.332789677906131,Corridor,0.0,14.840444384000014,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm7,21.637041222272252,Corridor,0.0,28.41008431999999,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm4,4.315202969876041,Reception area,15.0,8.495139024000155,ASSEMBLY USE - STAGES AND PLATFORMS,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm5,19.48400914826049,Corridor,0.0,27.54223305600001,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm2,15.645111778845074,Corridor,0.0,18.283780976000145,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm3,2.6012031986988453,Shower,0.0,6.689597408000004,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm0,9.114821136048663,Changing room,50.0,12.849635887999996,ASSEMBLY USE - LOCKER ROOMS,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm1,3.8965014056168172,Corridor,0.0,10.325739487999984,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmE,22.14356078100618,Enclosed office,50.0,19.981112208000024,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmF,33.959661791469586,Meeting room,50.0,24.48991740800004,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmC,34.171894102708116,Meeting room,50.0,24.589910096000025,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmD,34.681300816466305,Meeting room,50.0,24.829915712000016,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmA,5.255550208862246,Enclosed office,50.0,9.235744208000165,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmB,5.868271226287775,Enclosed office,50.0,9.709994720000175,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm8,6.253166223801639,Confidential meetings room,50.0,10.007906240000178,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm9,5.749303473005941,Confidential meetings room,50.0,9.617912816000127,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmM,12.78239369405384,Enclosed office,50.0,14.371196880000014,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmN,8.580961532552724,Enclosed office,50.0,11.776197344000037,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmK,6.476193437710486,Enclosed office,50.0,10.476194864000034,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmL,9.714299041908253,Enclosed office,50.0,12.476199200000051,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmI,53.46790431724529,Meeting room,50.0,31.648512992000015,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmV,8.68537845325373,Changing room,50.0,12.650359472000018,ASSEMBLY USE - LOCKER ROOMS,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmS,23.40000966319976,Open office,15.0,19.387234079999995,ASSEMBLY USE - STAGES AND PLATFORMS,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmT,22.139060356526386,Enclosed office,50.0,19.98111220800004,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmQ,33.83966809615133,Meeting room,50.0,24.459918992000073,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmR,33.83221599406753,Meeting room,50.0,24.456395504000042,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmO,9.114821136048684,Changing room,50.0,12.849635888000014,ASSEMBLY USE - LOCKER ROOMS,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmP,3.8827334356840315,Corridor,0.0,10.295741071999993,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmc,4.315202969876049,Reception area,15.0,8.49513902400015,ASSEMBLY USE - STAGES AND PLATFORMS,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmd,11.535629471583587,Confidential meetings room,50.0,14.72377611200016,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmY,11.536764317051606,Corridor,0.0,17.620245392,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmZ,37.04234508167533,Corridor,0.0,49.500203983999995,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmW,6.04904782193872,Corridor,0.0,15.015826927999969,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmk,12.078038033622384,Stairway,0.0,14.71979297600001,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmg,53.50456917179899,Meeting room,50.0,31.66350915200001,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmh,11.603734917173396,Stairway,0.0,14.52579996800001,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSme,17.65148791276989,Meeting room,50.0,17.674717424000008,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSms,42.65272777630468,Breakout space,15.0,26.318729600000008,ASSEMBLY USE - UNCONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmt,69.80794804071975,Meeting room,50.0,35.715000368,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmq,11.806989347898599,Corridor,0.0,17.958731888000006,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmr,19.484009148260487,Corridor,0.0,27.542233056,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmo,15.64511177884509,Corridor,0.0,18.28378097600015,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmp,9.29279014770632,Corridor,0.0,14.790444992000005,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmm,21.637049129073276,Corridor,0.0,28.410084320000006,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmn,2.529026490974492,Shower,0.0,6.540320384000015,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm_,2.6540725010003126,Shower,0.0,6.739596800000012,UNOCCUPIED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSm$,34.6719441269739,Meeting room,50.0,24.85343408000003,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmy,6.253166223801639,Confidential meetings room,50.0,10.007906240000178,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmz,5.749303473005941,Confidential meetings room,50.0,9.617912816000127,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmw,5.255550208862288,Enclosed office,50.0,9.235744208000193,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmx,5.868271226287733,Enclosed office,50.0,9.709994720000147,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmu,12.78239369405384,Enclosed office,50.0,14.371196880000012,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSmv,8.580961532552724,Enclosed office,50.0,11.776197344000037,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSp6,6.476193437710486,Enclosed office,50.0,10.47619486400004,BUSINESS USE - CONCENTRATED,2.4384,Space
2SzsE5m8T4h9JlM6XpBSp7,9.714299041908253,Enclosed office,50.0,12.476199200000053,BUSINESS USE - CONCENTRATED,2.4384,Space
3cb6LfaebBofd08xyUJOhA,6.689518511738705,Power supply room,300.0,10.34626654400002,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,Space
3cb6LfaebBofd08xyUJOh8,7.840677790596817,Power supply room,300.0,11.246265968000003,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,Space
3cb6LfaebBofd08xyUJOh4,6.774261252743763,Power supply room,300.0,10.411262096000018,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,Space
3cb6LfaebBofd08xyUJOh2,7.874998600490679,Power supply room,300.0,11.266266944000009,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,Space
3cb6LfaebBofd08xyUJOh_,6.708699600383147,Power supply room,300.0,10.361262704000016,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,Space
3cb6LfaebBofd08xyUJOhy,7.798561991571137,Power supply room,300.0,11.216267552000007,ACCESSORY MECHANICAL AND STORAGE AREAS,2.4384,Space
24CUluy7v9PexUf_brGpoC,13.885817679114068,Toilet,150.0,17.679796000000017,BUSINESS USE - GENERAL,2.4384,Space
24CUluy7v9PexUf_brGpoE,19.84399008040124,Toilet,150.0,25.869601312000004,BUSINESS USE - GENERAL,2.4384,Space
24CUluy7v9PexUf_brGpoA,13.99156767351408,Toilet,150.0,15.849796304000012,BUSINESS USE - GENERAL,2.4384,Space
24CUluy7v9PexUf_brGpo4,19.85824009000123,Toilet,150.0,25.869601312000004,BUSINESS USE - GENERAL,2.4384,Space
24CUluy7v9PexUf_brGpo0,13.885817679114068,Toilet,150.0,17.679796000000017,BUSINESS USE - GENERAL,2.4384,Space
24CUluy7v9PexUf_brGpo2,19.84399008040124,Toilet,150.0,25.869601312,BUSINESS USE - GENERAL,2.4384,Space
